model,n,r2,pov10,pov10_se,pov10_p,lila10,lila10_se,lila10_p,urban10,urban10_se,urban10_p,log_pop,log_pop_se,log_pop_p,conv10,conv10_se,conv10_p
E2 (1),3112,0.518,1.311,0.124,0.0,-0.095,0.051,0.0598,-0.154,0.031,0.0,0.434,0.094,0.0,,,
E2 (2),3112,0.535,1.42,0.111,0.0,-0.094,0.05,0.062,-0.141,0.029,0.0,0.423,0.081,0.0,-0.302,0.108,0.0051
E1 (3),3112,0.615,2.683,0.314,0.0,-0.244,0.094,0.0095,-0.084,0.051,0.0977,0.84,0.133,0.0,,,
Lost 2020-25 (4),3112,0.327,3.782,0.527,0.0,-0.219,0.164,0.1823,-0.189,0.107,0.0764,1.03,0.237,0.0,,,
