gap_days,exit_years,E1_exit_pct,E2_exit_pct
0,2006-2024,9.51,8.92
30,2006-2024,9.2,6.8
180,2006-2024,8.96,5.57
365,2006-2024,8.79,5.0
730,2006-2023,8.77,4.56
